Site,Species,Hour,Minutes,NightLight_10K,NightLight_5K,NightLight_3K
Carlos_Botelho,Cuniculus_paca,3,49,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,39,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,38,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,39,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,54,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,3,2,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,20,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,4,7,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,18,54,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,53,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,51,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,50,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,47,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,41,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,56,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,53,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,32,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,6,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,17,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,2,38,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,29,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,22,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,18,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,4,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,4,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,23,44,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,27,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,52,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,19,50,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,45,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,22,34,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,30,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,1,21,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,2,9,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,2,47,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,4,42,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,4,17,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,4,40,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,46,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,0,13,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,21,11,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,20,20,0.0530174,0.100855,0.181837007
Carlos_Botelho,Cuniculus_paca,3,8,0.0530174,0.100855,0.181837007
Ilha_do_Cardoso,Cuniculus_paca,21,23,0.269225001,0.023534499,0.0280379
Ilha_do_Cardoso,Cuniculus_paca,18,40,0.269225001,0.023534499,0.0280379
Ilha_do_Cardoso,Cuniculus_paca,18,56,0.269225001,0.023534499,0.0280379
Santa_Virginia_ITA,Cuniculus_paca,2,44,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,3,25,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,1,0,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,1,16,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,3,42,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,3,46,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,28,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,10,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,18,52,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,19,12,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,3,54,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,4,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,2,12,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,36,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,38,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,5,31,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,22,29,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,5,13,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,5,23,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,18,39,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,22,56,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,2,56,0.045827098,0.0272626,0.029198799
Santa_Virginia_ITA,Cuniculus_paca,4,20,0.045827098,0.0272626,0.029198799
Santa_Virginia_VG,Cuniculus_paca,22,26,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,0,30,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,3,33,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,2,52,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,0,18,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,4,28,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,0,33,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,7,31,0.198026001,0.10723,0.083407298
Santa_Virginia_VG,Cuniculus_paca,3,9,0.198026001,0.10723,0.083407298
Amparo,Cuniculus_paca,20,3,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,6,22,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,4,6,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,9,2,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,19,49,1.193070054,0.309419006,0.280874997
Anhembi1,Cuniculus_paca,0,38,0.228274003,0.21604,0.080339298
Anhembi1,Cuniculus_paca,3,57,0.228274003,0.21604,0.080339298
Dinamerica,Cuniculus_paca,1,56,1.267910004,0.116439,0.111527003
Dinamerica,Cuniculus_paca,22,25,1.267910004,0.116439,0.111527003
Dinamerica,Cuniculus_paca,21,40,1.267910004,0.116439,0.111527003
Dinamerica,Cuniculus_paca,3,59,1.267910004,0.116439,0.111527003
Dinamerica,Cuniculus_paca,21,23,1.267910004,0.116439,0.111527003
Caetetus,Cuniculus_paca,1,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,18,54,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,16,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,30,0.202489004,0.074653298,0.051570699
