,Columbina  talpacoti,Zenaida  auriculata,Icterus cayanensis pyrrhopterus,Zonotrichia  capensis,Coereba  flaveola,Dacnis  cayana,Nemosia  pileata,Pipraeidea  melanonota,Ramphocelus  carbo,Sporophila  caerulescens,Tachyphonus  coronatus,Tangara cayana,Thraupis  palmarum,Thraupis  sayaca,Tersina  viridis,Turdus  amaurochalinus,Turdus  leucomelas,Turdus  rufiventris,Camptostoma  obsoletum,Elaenia  flavogaster,Elaenia  sp,Megarynchus  pitangua,Myiarchus  tyrannulus,Myiozetetes  similis,Pitangus  sulphuratus,Serpophaga  subcristata,Tyrannus  melancholicus,Cyclarhis  gujanensis
Cecropia pachystachya,0,0,0,0,0,0,0,0,3,0,0,0,1,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Eugenia  uniflora,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Ficus  insipida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Schinus terebinthifolius,0,0,0,0,0,0,0,0,3,0,0,1,0,6,0,1,8,1,0,0,1,0,0,14,1,0,0,0
Solanum  mauritianum,0,0,0,0,0,0,1,1,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trema  micrantha,2,1,1,6,5,6,1,0,2,1,2,0,1,12,0,2,6,0,2,2,5,1,2,4,9,3,12,2
