,Patagioenas picazuro,Elaenia flavogaster,Elaenia spectabilis,Elaenia sp,Tolmomyias sulphurescens,Satrapa icterophrys,Empidonomus varius,Myiarchus ferox,Myiodynastes maculatus,Myiozetetes similis,Pitangus sulphuratus,Tyrannus melancholicus,Turdus amaurochalinus,Turdus leucomelas,Turdus rufiventris,Cyclarhis gujanensis,Vireo olivaceus,Euphonia chlorotica,Icterus cayanensis pyrrhopterus,Conirostrum speciosum,Coereba flaveola,Dacnis cayana,Nemosia pileata,Ramphocelus carbo,Tachyphonus coronatus,Tachyphonus cristatus,Tangara cayana,Thlypopsis sordida,Thraupis palmarum,Thraupis sayaca
Melia azedarach,1,1,0,3,0,1,0,0,0,8,6,0,12,20,3,0,0,1,1,0,0,0,0,4,0,0,26,1,0,120
Casearia sylvestris,0,6,0,10,4,0,0,11,1,4,0,0,0,1,0,9,1,0,0,0,0,4,18,17,5,0,5,2,0,9
Cecropia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,4
Trichilia clausenii,0,4,0,1,0,0,5,12,17,22,2,1,1,9,0,0,15,0,0,0,1,47,0,20,2,0,3,2,0,5
Syzygium cumini,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,11,0,1,0,0,0,0,9
Plinia cauliflora,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,20,1,6,7,13,0,2,0,0,28
Frangula purshiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,21,0,0,42
Trema micrantha,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,9,0,0,1
Acnistus arborescens,0,1,1,8,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,1,0,13,11,0,11,1,0,9
