Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CBO	CBOclosed15	CBO15	closed	12	12	0,556712574	0,787660567	25	0,708474947	2,771175519	11,01454413	9
CBO	CBOopen15	CBO15	open	12	12	0,477439342	0,634563067	22	0,65204238	1,508333919	5,514406929	9
CBO	CBOclosed2	CBO2	closed	12	12	0,531622736	0,61312994	20	0,713461215	1,734494189	6,865253496	3
CBO	CBOopen2	CBO2	open	12	12	0,580499769	0,75989977	21	0,77566463	2,434158379	9,791901364	3
CBO	CBOclosed4	CBO4	closed	12	12	0,711446665	0,980385085	20	0,8145598	1,613074765	6,16101755	0
CBO	CBOopen4	CBO4	open	12	12	0,59453268	0,827864175	17	0,8145598	1,613074765	6,16101755	0
CBO	CBOclosed5	CBO5	closed	12	12	0,503502555	0,690108031	16	0,74637775	1,858308577	6,957308065	8
CBO	CBOopen5	CBO5	open	12	12	0,595859712	0,770113567	20	0,832700011	2,261001392	9,095953056	8
CBO	CBOclosed6	CBO6	closed	12	12	0,692343916	0,987214493	26	0,489055369	0,795730531	2,642484355	3
CBO	CBOopen6	CBO6	open	12	12	0,648344024	0,908956973	57	0,723573814	2,63204698	12,020913	3
CBO	CBOclosed9	CBO9	closed	12	12	0,53126969	0,647277646	28	0,478047046	1,40856206	4,336065239	1
CBO	CBOopen9	CBO9	open	12	12	0,492079167	0,678022602	20	0,712431415	1,668850346	6,839044371	1
CBO	CBOclosed1	CBO1	closed	18	18	0,59673445	0,812036925	50	0,689143084	2,51333133	11,4800628	3
CBO	CBOopen1	CBO1	open	18	18	0,581933926	0,805953522	45	0,715990913	2,049917211	8,094567509	3
CBO	CBOclosed11	CBO11	closed	18	18	0,573415527	0,764872194	35	0,791826008	3,265550261	14,34892159	2
CBO	CBOopen11	CBO11	open	18	18	0,612930614	0,789696537	42	0,581382624	1,9779154	6,780815099	2
CBO	CBOclosed12	CBO12	closed	18	18	0,571677818	0,746206244	14	0,543906251	0,785157798	2,712228201	1
CBO	CBOopen12	CBO12	open	18	18	0,727653391	1,009469819	14	0,70490922	1,097446325	3,923138158	1
CBO	CBOclosed14	CBO14	closed	18	18	0,520265469	0,710573206	24	0,799197947	2,728973777	11,61924944	8
CBO	CBOopen14	CBO14	open	18	18	0,419967143	0,553835904	17	0,714791229	1,616183129	6,033027058	8
CBO	CBOclosed15	CBO15	closed	18	18	0,536973746	0,763674744	21	0,733845137	2,404461509	9,741242336	9
CBO	CBOopen15	CBO15	open	18	18	0,473950534	0,617449003	23	0,627224992	1,584812298	5,573287786	9
CBO	CBOclosed2	CBO2	closed	18	18	0,533431728	0,626518759	21	0,713461215	1,734494189	6,865253496	3
CBO	CBOopen2	CBO2	open	18	18	0,573216616	0,757325346	21	0,759730619	2,516967014	9,940875446	3
CBO	CBOclosed4	CBO4	closed	18	18	0,696959652	1,007005418	21	0,780839201	1,735123711	6,295369948	0
CBO	CBOopen4	CBO4	open	18	18	0,584256084	0,819862177	16	0,8145598	1,613074765	6,16101755	0
CBO	CBOclosed5	CBO5	closed	18	18	0,498572316	0,680628444	17	0,74637775	1,858308577	6,957308065	8
CBO	CBOopen5	CBO5	open	18	18	0,599552831	0,759322688	19	0,818331282	2,093184982	8,149223549	8
CBO	CBOclosed6	CBO6	closed	18	18	0,694742556	0,98393041	27	0,468868978	0,751034858	2,500211298	3
CBO	CBOopen6	CBO6	open	18	18	0,652975834	0,912333895	55	0,713208988	2,522022237	11,20069134	3
CBO	CBOclosed9	CBO9	closed	18	18	0,527871294	0,659261121	26	0,516672269	1,48046908	4,65407047	1
CBO	CBOopen9	CBO9	open	18	18	0,505093641	0,687926407	20	0,712431415	1,668850346	6,839044371	1
