Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
VGM	VGMclosed1	VGM1	closed	12	12	0,69560134	0,822801322	7	0,72618352	0,825167336	2,824480462	9
VGM	VGMopen1	VGM1	open	12	12	0,689061009	0,854930976	9	NA	NA	NA	9
VGM	VGMclosed10	VGM10	closed	12	12	0,556707023	0,734238742	43	0,629986232	3,07739606	12,22062032	5
VGM	VGMopen10	VGM10	open	12	12	0,549435493	0,698217413	26	0,679732137	1,489359179	5,040454702	5
VGM	VGMclosed11	VGM11	closed	12	12	0,484675462	0,601073813	51	0,507580761	1,697064062	5,390754049	7
VGM	VGMopen11	VGM11	open	12	12	0,598683436	0,45235315	114	0,255275956	0,656393956	2,065259285	7
VGM	VGMclosed12	VGM12	closed	12	12	0,564302869	0,781381811	34	0,630932145	1,539674037	5,769142726	26
VGM	VGMopen12	VGM12	open	12	12	0,644020208	0,861593599	32	0,649680994	1,627785222	6,150437835	26
VGM	VGMclosed14	VGM14	closed	12	12	0,54473621	0,736308705	53	0,530470813	1,751409293	6,075533177	25
VGM	VGMopen14	VGM14	open	12	12	0,536583018	0,526962579	59	0,333906164	0,671955967	2,173687804	25
VGM	VGMclosed15	VGM15	closed	12	12	0,622319695	0,763632984	26	0,71057065	2,064575492	7,115247137	23
VGM	VGMopen15	VGM15	open	12	12	0,678083812	0,921306135	17	0,755928936	1,541808808	5,396778355	23
VGM	VGMclosed4	VGM4	closed	12	12	0,484859478	0,606498292	75	0,52074684	2,528083331	8,580153134	0
VGM	VGMopen4	VGM4	open	12	12	0,598923611	0,774247237	56	0,553401684	1,243110477	4,429748585	0
VGM	VGMclosed5	VGM5	closed	12	12	0,5253853	0,589806573	84	0,586991901	1,747183295	7,069551497	8
VGM	VGMopen5	VGM5	open	12	12	0,62869066	0,832174295	35	0,764388323	2,537714255	9,742629273	8
VGM	VGMclosed6	VGM6	closed	12	12	0,559823025	0,728924659	44	0,803714397	2,570477428	11,82163284	7
VGM	VGMopen6	VGM6	open	12	12	0,543613823	0,496860104	84	0,392440072	0,87466205	2,818699487	7
VGM	VGMclosed7	VGM7	closed	12	12	0,54190135	0,683084952	62	0,485098557	2,683590932	8,756306164	0
VGM	VGMopen7	VGM7	open	12	12	0,494923188	0,544247788	47	0,447165311	1,105205462	3,252157057	0
VGM	VGMclosed8	VGM8	closed	12	12	0,537796749	0,667995735	43	0,73643592	2,250383453	9,433546766	4
VGM	VGMopen8	VGM8	open	12	12	0,493279877	0,54918487	41	0,628873513	1,467275795	5,445948173	4
VGM	VGMclosed9	VGM9	closed	12	12	0,471584489	0,567503012	130	0,566662038	1,78759784	6,624284833	17
VGM	VGMopen9	VGM9	open	12	12	0,531039259	0,634940438	35	0,49543165	1,332322534	4,143925203	17
VGM	VGMclosed1	VGM1	closed	18	18	0,688072218	0,843537813	8	0,784431715	1,081096936	3,719842244	9
VGM	VGMopen1	VGM1	open	18	18	0,660982927	0,754076955	9	0,865616348	0,960128541	3,680679096	9
VGM	VGMclosed10	VGM10	closed	18	18	0,68634537	0,753201179	106	0,349092403	0,897890267	2,817323433	5
VGM	VGMopen10	VGM10	open	18	18	0,500617367	0,592502811	22	0,612401568	1,652910617	5,239757497	5
VGM	VGMclosed11	VGM11	closed	18	18	0,479909597	0,576512099	54	0,523346811	1,78855763	5,840468593	7
VGM	VGMopen11	VGM11	open	18	18	0,546090336	0,555394528	72	0,365108826	1,100806857	3,314384674	7
VGM	VGMclosed12	VGM12	closed	18	18	0,560519541	0,764371611	33	0,630932145	1,539674037	5,769142726	26
VGM	VGMopen12	VGM12	open	18	18	0,658333857	0,868197913	32	0,649680994	1,627785222	6,150437835	26
VGM	VGMclosed14	VGM14	closed	18	18	0,576691951	0,782564456	50	0,559234339	1,694842208	6,221610428	25
