Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAclosed4	ITA4	closed	12	12	0,637575366	0,874291561	20	0,512278768	1,282102078	4,544079884	6
ITA	ITAopen4	ITA4	open	12	12	0,428873999	0,511166537	14	0,426083945	1,251127717	3,728790125	6
ITA	ITAclosed6	ITA6	closed	12	12	0,469547001	0,567661143	15	0,408299499	1,095189222	3,297228085	14
ITA	ITAopen6	ITA6	open	12	12	0,557991452	0,742748588	16	0,444959408	1,304719945	4,044442254	14
ITA	ITAclosed8	ITA8	closed	12	12	0,434054031	0,505884081	17	0,339452104	1,065216948	3,020605259	12
ITA	ITAopen8	ITA8	open	12	12	0,512499798	0,697393743	14	0,466792339	0,95275913	3,122352346	12
ITA	ITAclosed1	ITA1	closed	18	18	0,427930375	0,566740063	22	0,430563895	1,320356224	4,188768922	20
ITA	ITAopen1	ITA1	open	18	18	0,391742341	0,473145812	10	0,47084795	1,151978021	3,512440403	20
ITA	ITAclosed10	ITA10	closed	18	18	0,482719912	0,642255002	10	0,451878503	1,010215719	3,103773677	5
ITA	ITAopen10	ITA10	open	18	18	0,640164595	0,439389959	2	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	18	18	0,484560229	0,454310871	5	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	18	18	0,675302232	0,874808008	6	0,58936851	1,038600945	3,454510647	21
ITA	ITAclosed14	ITA14	closed	18	18	0,714462885	0,976199019	28	0,282024488	1,027981839	2,873214987	5
ITA	ITAopen14	ITA14	open	18	18	0,670672334	0,974407913	8	0,530552771	1,068043135	3,448599661	5
ITA	ITAclosed15	ITA15	closed	18	18	0,598751303	0,54399619	38	0,272220472	1,045990781	2,93912075	8
ITA	ITAopen15	ITA15	open	18	18	0,541300309	0,564187098	16	0,230670272	0,81497336	2,250876396	8
ITA	ITAclosed2	ITA2	closed	18	18	0,638270148	0,859699861	20	0,401530058	1,268207056	3,831599739	11
ITA	ITAopen2	ITA2	open	18	18	0,422415141	0,465862843	17	0,472599363	1,050561065	3,486618593	11
ITA	ITAclosed4	ITA4	closed	18	18	0,612616235	0,833194908	20	0,516930107	1,276009613	4,556002487	6
ITA	ITAopen4	ITA4	open	18	18	0,431771554	0,505538313	10	0,47645474	1,107602855	3,431319587	6
ITA	ITAclosed6	ITA6	closed	18	18	0,479215935	0,581195883	18	0,339107958	1,155301278	3,237223983	14
ITA	ITAopen6	ITA6	open	18	18	0,543708265	0,704238583	17	0,427497076	1,306030216	3,986034328	14
ITA	ITAclosed8	ITA8	closed	18	18	0,422528042	0,499895949	17	0,339452104	1,065216948	3,020605259	12
ITA	ITAopen8	ITA8	open	18	18	0,523484778	0,727785124	14	0,466792339	0,95275913	3,122352346	12
ITA	ITAclosed1	ITA1	closed	24	24	0,397984224	0,545209633	23	0,418367974	1,325360713	4,154725434	20
ITA	ITAopen1	ITA1	open	24	24	0,403330135	0,509153966	8	0,547235835	1,145618271	3,718959539	20
ITA	ITAclosed10	ITA10	closed	24	24	0,486097821	0,627700616	11	0,427938107	1,018214831	3,074082692	5
ITA	ITAopen10	ITA10	open	24	24	0,505557232	0,358264662	3	0,6600139	0,754552201	2,644135772	5
ITA	ITAclosed12	ITA12	closed	24	24	0,522326002	0,447742923	5	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	24	24	0,761229312	1,154063038	5	0,576366925	0,931862568	3,040046756	21
ITA	ITAclosed14	ITA14	closed	24	24	0,691723968	0,893092854	15	0,43204004	1,059488872	3,299613624	5
ITA	ITAopen14	ITA14	open	24	24	0,45140415	0,582238148	9	0,575378308	1,124261727	3,903688618	5
ITA	ITAclosed15	ITA15	closed	24	24	0,584789482	0,520745332	40	0,237758658	1,184956161	3,146572509	8
ITA	ITAopen15	ITA15	open	24	24	0,571422265	0,568055083	14	0,251024523	0,814616917	2,270403342	8
ITA	ITAclosed2	ITA2	closed	24	24	0,642226415	0,83995613	20	0,421747554	1,34576958	4,155868095	11
ITA	ITAopen2	ITA2	open	24	24	0,517275198	0,631814049	9	0,597460508	0,970812303	3,567462249	11
ITA	ITAclosed4	ITA4	closed	24	24	0,522109024	0,716604969	28	0,438227897	1,424776479	4,710972196	6
ITA	ITAopen4	ITA4	open	24	24	0,439470177	0,417223936	12	0,406737028	1,021365983	3,039236602	6
ITA	ITAclosed6	ITA6	closed	24	24	0,463609225	0,573661426	21	0,330713708	1,26180614	3,501346433	14
ITA	ITAopen6	ITA6	open	24	24	0,519800302	0,694302301	14	0,392433095	1,140367195	3,31626978	14
ITA	ITAclosed8	ITA8	closed	24	24	0,37145841	0,481815352	16	0,349019848	1,042728094	2,98515528	12
ITA	ITAopen8	ITA8	open	24	24	0,53748089	0,718816673	12	0,498669797	0,929240897	3,127950683	12
ITA	ITAclosed1	ITA1	closed	30	30	0,394751702	0,525884485	24	0,415786415	1,414259595	4,425398933	20
ITA	ITAopen1	ITA1	open	30	30	0,400816332	0,457828292	9	0,557057078	1,220249498	4,057735608	20
ITA	ITAclosed10	ITA10	closed	30	30	0,446973007	0,576859346	13	0,411049586	1,141895485	3,363505089	5
ITA	ITAopen10	ITA10	open	30	30	0,552398139	0,431673813	3	0,6600139	0,754552201	2,644135772	5
ITA	ITAclosed12	ITA12	closed	30	30	0,533390842	0,438469295	5	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	30	30	0,751294695	1,115118122	5	0,576366925	0,931862568	3,040046756	21
ITA	ITAclosed14	ITA14	closed	30	30	0,634038638	0,820900715	16	0,440097679	1,063173176	3,363908876	5
ITA	ITAopen14	ITA14	open	30	30	0,45379481	0,601117708	13	0,479830364	1,205204821	3,841937532	5
ITA	ITAclosed15	ITA15	closed	30	30	0,585118693	0,509453694	47	0,216060225	1,177050432	3,084324864	8
