Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CAR	CARopen1	CAR1	open	12	12	0,582504916	0,766385721	12	NA	NA	NA	5
CAR	CARclosed10	CAR10	closed	12	12	0,566182221	0,617378194	42	0,519565083	1,256196204	4,339398637	7
CAR	CARopen10	CAR10	open	12	12	0,594521158	0,780421327	9	0,865616348	0,960128541	3,680679096	7
CAR	CARclosed11	CAR11	closed	12	12	0,519560874	0,631014639	22	0,652865406	1,182761658	4,251034968	6
CAR	CARopen11	CAR11	open	12	12	0,547005431	0,631169842	32	0,690155707	1,948313934	7,427075369	6
CAR	CARclosed12	CAR12	closed	12	12	0,527735709	0,669755991	19	0,559757716	1,257444677	3,929687208	7
CAR	CARopen12	CAR12	open	12	12	0,542171445	0,678750746	13	0,801227064	1,065442669	4,105061261	7
CAR	CARclosed14	CAR14	closed	12	12	0,606246867	0,809574648	21	0,818331282	2,093184982	8,149223549	2
CAR	CARopen14	CAR14	open	12	12	0,66348184	0,961792294	9	0,822261123	1,316987326	4,65405374	2
CAR	CARclosed15	CAR15	closed	12	12	0,532686698	0,603620067	13	0,661387626	0,893204375	3,134115302	6
CAR	CARopen15	CAR15	open	12	12	0,60979681	0,827805738	7	0,89405874	1,204795065	4,675852251	6
CAR	CARclosed2	CAR2	closed	12	12	0,679146116	0,995406769	30	0,882757777	2,455773816	11,00072361	5
CAR	CARopen2	CAR2	open	12	12	0,610623667	0,818273057	32	0,662000931	1,482546926	5,851420872	5
CAR	CARclosed3	CAR3	closed	12	12	0,652509079	0,877110461	30	0,63103627	1,43342413	5,110993598	4
CAR	CARopen3	CAR3	open	12	12	0,533192541	0,666676831	14	0,739220108	1,287843003	4,76202769	4
CAR	CARclosed4	CAR4	closed	12	12	0,653409456	0,895855247	53	0,713574516	2,196590378	8,840323198	1
CAR	CARopen4	CAR4	open	12	12	0,63663777	0,883923316	39	0,611684547	1,882014773	6,487531736	1
CAR	CARclosed5	CAR5	closed	12	12	0,710456075	0,995944685	50	0,18666836	0,232354428	1,290851858	7
CAR	CARopen5	CAR5	open	12	12	0,616330565	0,834368691	29	0,762656066	1,146376086	4,448010946	7
CAR	CARclosed8	CAR8	closed	12	12	0,557606841	0,632994807	61	0,539214055	1,97166143	7,400591846	9
CAR	CARopen8	CAR8	open	12	12	0,713306794	0,983975932	30	0,292961659	0,327729286	1,463241647	9
CAR	CARclosed9	CAR9	closed	12	12	0,581162859	0,661156609	48	0,444728531	1,224208275	3,855344734	16
CAR	CARopen9	CAR9	open	12	12	0,647991819	0,749329816	29	0,360554759	0,433801922	1,684901302	16
CAR	CARclosed1	CAR1	closed	18	17	0,490887373	0,628692527	26	0,577279904	0,98154838	3,469606013	5
CAR	CARopen1	CAR1	open	18	17	0,580759259	0,775876266	12	NA	NA	NA	5
