Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAclosed4	ITA4	closed	12	12	0,641057146	7,959101584	27	0,649157157	2,431146905	8,620220154	6
ITA	ITAopen4	ITA4	open	12	12	0,517016153	5,523244095	27	0,609012594	1,966707836	6,659774131	6
ITA	ITAclosed6	ITA6	closed	12	12	0,510373813	5,037051884	22	0,5936861	1,271394388	4,494234061	14
ITA	ITAopen6	ITA6	open	12	12	0,558135727	7,140620884	36	0,609820958	1,750140568	6,024718381	14
ITA	ITAclosed8	ITA8	closed	12	12	0,463848075	6,143890753	31	0,400227039	0,883010045	2,636965724	12
ITA	ITAopen8	ITA8	open	12	12	0,557920969	6,022405026	30	0,568133626	1,634387884	5,322188442	12
ITA	ITAclosed1	ITA1	closed	18	18	0,447005535	5,370047475	29	0,547781604	1,858404546	5,998549839	20
ITA	ITAopen1	ITA1	open	18	18	0,485302515	2,735450394	24	0,742137614	1,416697892	5,856034723	20
ITA	ITAclosed10	ITA10	closed	18	18	0,523820975	4,685955428	13	0,584083574	1,171456537	3,72394962	5
ITA	ITAopen10	ITA10	open	18	18	0,646865653	4,19096269	5	NA	NA	NA	5
ITA	ITAclosed12	ITA12	closed	18	18	0,522417173	3,740220366	9	0,514019156	0,465345617	1,835820612	21
ITA	ITAopen12	ITA12	open	18	18	0,656614099	4,75501992	9	0,755976311	0,843149336	3,179021609	21
ITA	ITAclosed14	ITA14	closed	18	18	0,698689062	21,97641828	35	0,364624004	0,5059753	1,841446456	5
ITA	ITAopen14	ITA14	open	18	18	0,665279466	5,871192509	15	0,70490922	1,097446325	3,923138158	5
ITA	ITAclosed15	ITA15	closed	18	18	0,610814486	21,08640186	46	0,37261447	1,105235515	3,30848214	8
ITA	ITAopen15	ITA15	open	18	18	0,578084059	10,96982693	30	0,453449969	0,742651845	2,488033762	8
ITA	ITAclosed2	ITA2	closed	18	18	0,636320108	11,53082587	24	0,595814344	1,39062495	5,090608813	11
ITA	ITAopen2	ITA2	open	18	18	0,471537455	5,391406937	36	0,575973906	1,519758973	5,101536193	11
ITA	ITAclosed4	ITA4	closed	18	18	0,619949137	7,355744596	27	0,645577157	2,509913743	8,728709693	6
ITA	ITAopen4	ITA4	open	18	18	0,534227902	4,494962494	22	0,623550139	1,689449424	5,54962553	6
ITA	ITAclosed6	ITA6	closed	18	18	0,520704899	6,814215515	26	0,537666625	1,367442858	4,554235591	14
ITA	ITAopen6	ITA6	open	18	18	0,56745398	8,272942881	32	0,576933468	1,73588173	5,828940733	14
ITA	ITAclosed8	ITA8	closed	18	18	0,451766697	5,632351734	31	0,400227039	0,883010045	2,636965724	12
ITA	ITAopen8	ITA8	open	18	18	0,565794036	6,329103411	30	0,568133626	1,634387884	5,322188442	12
ITA	ITAclosed1	ITA1	closed	24	24	0,418397256	5,335491661	29	0,538215255	1,788834375	5,800190226	20
ITA	ITAopen1	ITA1	open	24	24	0,491782813	2,211564033	18	0,814749335	1,496789524	6,300587994	20
ITA	ITAclosed10	ITA10	closed	24	24	0,522384449	4,711223429	14	0,556787257	1,115962778	3,538227502	5
ITA	ITAopen10	ITA10	open	24	24	0,551651085	2,347143887	5	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	24	24	0,547741011	4,386753054	9	0,514019156	0,465345617	1,835820612	21
ITA	ITAopen12	ITA12	open	24	24	0,731651719	4,70589732	8	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	24	24	0,681445531	10,72085866	21	0,557988369	0,709033734	2,590598103	5
