Site	UniquePair	UnPlot	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITA8	ITAclosed8	closed	12	12	0,676291909	0,954441024	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	12	12	0,615781787	0,829145124	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	18	18	0,62480856	0,893609399	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	18	18	0,647682375	0,89746175	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	18	18	0,681710387	0,964591004	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	18	18	0,671800134	0,958402164	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	18	18	0,624759358	0,893609266	2	0,816023395	0,691168686	2,700418534	21
ITA	ITA12	ITAopen12	open	18	18	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	18	18	0,645353614	0,899197378	1	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	18	18	0,671773243	0,95839819	1	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	18	18	0,681784139	0,964583332	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	18	18	0,645373349	0,922241194	6	0,652487192	1,08238089	3,900209527	8
ITA	ITA2	ITAclosed2	closed	18	18	0,65524591	0,927659389	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA2	ITAopen2	open	18	18	0,64563268	0,922273157	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA4	ITAclosed4	closed	18	18	0,681734786	0,964595154	3	0,755976311	0,843149336	3,179021609	6
ITA	ITA4	ITAopen4	open	18	18	0,671800134	0,958402164	6	0,51204312	0,9457461	2,945363865	6
ITA	ITA6	ITAclosed6	closed	18	18	0,619786477	0,863828406	5	0,657365571	0,997804993	3,542680089	14
ITA	ITA6	ITAopen6	open	18	18	0,649915958	0,895378113	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	18	18	0,681733318	0,964592301	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	18	18	0,626011726	0,836620677	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	24	24	0,60155104	0,860355441	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	24	24	0,668123205	0,950289353	3	0,755976311	0,843149336	3,179021609	20
ITA	ITA10	ITAclosed10	closed	24	24	0,671880613	0,948450011	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	24	24	0,668117741	0,950284051	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	24	24	0,601551044	0,860355509	2	0,816023395	0,691168686	2,700418534	21
ITA	ITA12	ITAopen12	open	24	24	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	24	24	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	24	24	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	24	24	0,671880613	0,948442081	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	24	24	0,612468461	0,874615441	6	0,652487192	1,08238089	3,900209527	8
ITA	ITA2	ITAclosed2	closed	24	24	0,671880613	0,948450011	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	24	24	0,635708129	0,905361188	3	0,755976311	0,843149336	3,179021609	11
ITA	ITA4	ITAclosed4	closed	24	24	0,671880822	0,94841187	3	0,755976311	0,843149336	3,179021609	6
ITA	ITA4	ITAopen4	open	24	24	0,644373758	0,918871457	6	0,51204312	0,9457461	2,945363865	6
ITA	ITA6	ITAclosed6	closed	24	24	0,671880713	0,948405675	5	0,657365571	0,997804993	3,542680089	14
ITA	ITA6	ITAopen6	open	24	24	0,643336884	0,879443236	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	24	24	0,671880784	0,948435604	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	24	24	0,643336683	0,879446189	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	30	30	0,607146394	0,868785163	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	30	30	0,662492721	0,942927539	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	30	30	0,675674046	0,954436303	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	30	30	0,662490759	0,942910179	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	30	30	0,607178524	0,868785734	2	0,816023395	0,691168686	2,700418534	21
ITA	ITA12	ITAopen12	open	30	30	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	30	30	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	30	30	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	30	30	0,646351236	0,908700194	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	30	30	0,641214067	0,914632175	6	0,652487192	1,08238089	3,900209527	8
ITA	ITA2	ITAclosed2	closed	30	30	0,675674046	0,954436303	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA2	ITAopen2	open	30	30	0,662484556	0,942929575	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	30	30	0,675606678	0,954434687	3	0,755976311	0,843149336	3,179021609	6
ITA	ITA4	ITAopen4	open	30	30	0,641215629	0,9146224	7	0,462905355	0,948504338	2,863718483	6
ITA	ITA6	ITAclosed6	closed	30	30	0,675643122	0,954436802	6	0,652487192	1,08238089	3,900209527	14
ITA	ITA6	ITAopen6	open	30	30	0,636877034	0,86965051	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	30	30	0,646256024	0,908699413	2	0,816023395	0,691168686	2,700418534	12
ITA	ITA8	ITAopen8	open	30	30	0,636877114	0,869653829	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	36	37	0,607086806	0,868787228	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	36	37	0,662499662	0,943053943	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	36	37	0,675732823	0,954435003	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	36	37	0,66250771	0,943032622	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	36	37	0,607095048	0,868787213	2	0,816023395	0,691168686	2,700418534	21
ITA	ITA12	ITAopen12	open	36	37	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	36	37	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	36	37	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	36	37	0,646294194	0,908699707	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	36	37	0,641215183	0,913986527	5	0,657365571	0,997804993	3,542680089	8
ITA	ITA2	ITAclosed2	closed	36	37	0,675732823	0,954435003	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	36	37	0,662481216	0,943042494	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	36	37	0,675578275	0,954431344	3	0,755976311	0,843149336	3,179021609	6
ITA	ITA4	ITAopen4	open	36	37	0,641212712	0,914014714	8	0,480125762	0,962519393	3,003525379	6
ITA	ITA6	ITAclosed6	closed	36	37	0,67573152	0,954439428	5	0,657365571	0,997804993	3,542680089	14
ITA	ITA6	ITAopen6	open	36	37	0,636861359	0,869804736	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	36	37	0,646278652	0,908699675	2	0,816023395	0,691168686	2,700418534	12
ITA	ITA8	ITAopen8	open	36	37	0,636874043	0,869796765	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	42	43	0,624583673	0,88430943	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	42	43	0,666934408	0,947471749	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	42	43	0,667749749	0,944162747	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	42	43	0,666809555	0,947466484	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	42	43	0,624583623	0,884309103	4	0,661387626	0,893204375	3,134115302	21
ITA	ITA12	ITAopen12	open	42	43	0,666892436	0,947480619	1	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	42	43	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	42	43	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	42	43	0,667750141	0,944161754	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	42	43	0,650297497	0,925260188	7	0,64778351	1,153628015	4,22216367	8
ITA	ITA2	ITAclosed2	closed	42	43	0,66775017	0,944163863	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	42	43	0,666937358	0,947466954	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	42	43	0,66774976	0,944161877	2	0,816023395	0,691168686	2,700418534	6
ITA	ITA4	ITAopen4	open	42	43	0,65033376	0,925257867	7	0,462905355	0,948504338	2,863718483	6
ITA	ITA6	ITAclosed6	closed	42	43	0,667750328	0,944162585	6	0,652487192	1,08238089	3,900209527	14
ITA	ITA6	ITAopen6	open	42	43	0,645382046	0,88626502	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	42	43	0,667749637	0,944162063	1	NA	NA	NA	12
