ID,Study_Location_new,Study.reference,Frug_Family,Frugivore_Species,Frugivore_Species2,Frug_Body_Mass,Plant_family,Plant_Species,Plant_Species2,interaction,seed_diameter,Type.of.Interaction,Plant_genus,Plant_specific.epiteth,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass.1,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Doi.Link,Study_Method
64,PE Ilha do Cardoso,Castro 2003,Trogonidae,Trogon viridis,Trogon_viridis,89.7,Arecaceae,Euterpe edulis,Euterpe_edulis,Trogon viridisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Trogoniformes,Trogon,viridis,Large birds,89.7,20.49,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
65,PE Ilha do Cardoso,Castro 2003,Cotingidae,Procnias nudicollis,Procnias_nudicollis,200,Arecaceae,Euterpe edulis,Euterpe_edulis,Procnias nudicollisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Procnias,nudicollis,Large birds,200,23.61,3,AM,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
66,PE Ilha do Cardoso,Castro 2003,Ramphastidae,Ramphastos vitellinus,Ramphastos_vitellinus,343.5,Arecaceae,Euterpe edulis,Euterpe_edulis,Ramphastos vitellinusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Piciformes,Ramphastos,vitellinus,Large birds,343.5,30.11,3,RES,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
67,PE Ilha do Cardoso,Castro 2003,Turdidae,Turdus albicollis,Turdus_albicollis,54,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus albicollisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,albicollis,Small birds,54,11.15,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
68,PE Ilha do Cardoso,Castro 2003,Turdidae,Turdus flavipes,Turdus_flavipes,65.33,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus flavipesEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,flavipes,Small birds,65.33,12.25,3,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/handle/11449/87874,Plant-oriented
112,PE Ilha do Cardoso,Cortes 2003,Turdidae,Turdus rufiventris,Turdus_rufiventris,69.5,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus rufiventrisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,rufiventris,Small birds,69.5,13.25,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
113,PE Ilha do Cardoso,Cortes 2003,Thraupidae,Tachyphonus coronatus,Tachyphonus_coronatus,29.3,Arecaceae,Euterpe edulis,Euterpe_edulis,Tachyphonus coronatusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Tachyphonus,coronatus,Small birds,29.3,8.42,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
114,PE Ilha do Cardoso,Cortes 2003,Trogonidae,Trogon viridis,Trogon_viridis,89.7,Arecaceae,Euterpe edulis,Euterpe_edulis,Trogon viridisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Trogoniformes,Trogon,viridis,Large birds,89.7,20.49,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
115,PE Ilha do Cardoso,Cortes 2003,Ramphastidae,Selenidera maculirostris,Selenidera_maculirostris,164,Arecaceae,Euterpe edulis,Euterpe_edulis,Selenidera maculirostrisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Piciformes,Selenidera,maculirostris,Large birds,164,25.04,3,RES,LC,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
116,PE Ilha do Cardoso,Cortes 2003,Ramphastidae,Ramphastos vitellinus,Ramphastos_vitellinus,343.5,Arecaceae,Euterpe edulis,Euterpe_edulis,Ramphastos vitellinusEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Piciformes,Ramphastos,vitellinus,Large birds,343.5,30.11,3,RES,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
117,PE Ilha do Cardoso,Cortes 2003,Turdidae,Turdus albicollis,Turdus_albicollis,54,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus albicollisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,albicollis,Small birds,54,11.15,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
118,PE Ilha do Cardoso,Cortes 2003,Cotingidae,Procnias nudicollis,Procnias_nudicollis,200,Arecaceae,Euterpe edulis,Euterpe_edulis,Procnias nudicollisEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Procnias,nudicollis,Large birds,200,23.61,3,AM,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
119,PE Ilha do Cardoso,Cortes 2003,Turdidae,Turdus flavipes,Turdus_flavipes,65.33,Arecaceae,Euterpe edulis,Euterpe_edulis,Turdus flavipesEuterpe edulis,10,Mutualistic,Euterpe,edulis,native,palm,12.46,12.8,11.7,black,2,VU,Aves,Passeriformes,Turdus,flavipes,Small birds,65.33,12.25,3,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,http://repositorio.unesp.br/bitstream/handle/11449/87840/cortes_mc_me_rcla.pdf?sequence=1,Plant-oriented
120,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Sicalis flaveola,Sicalis_flaveola,17,Myrtaceae,Eugenia astringens,Eugenia_astringens,Sicalis flaveolaEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Sicalis,flaveola,Small birds,17,NA,1,NA,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
121,PE Ilha do Cardoso,Cortes et al  2009,Cotingidae,Procnias nudicollis,Procnias_nudicollis,200,Myrtaceae,Eugenia astringens,Eugenia_astringens,Procnias nudicollisEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Procnias,nudicollis,Large birds,200,23.61,3,AM,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
122,PE Ilha do Cardoso,Cortes et al  2009,Tyrannidae,Myiozetetes similis,Myiozetetes_similis,28,Myrtaceae,Eugenia astringens,Eugenia_astringens,Myiozetetes similisEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Myiozetetes,similis,Small birds,28,9.52,1,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
123,PE Ilha do Cardoso,Cortes et al  2009,Tyrannidae,Elaenia obscura,Elaenia_obscura,23.9,Myrtaceae,Eugenia astringens,Eugenia_astringens,Elaenia obscuraEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Elaenia,obscura,Small birds,23.9,10.58,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
124,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus leucomelas,Turdus_leucomelas,69.1,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus leucomelasEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,leucomelas,Small birds,69.1,12.55,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
125,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Thraupis palmarum,Thraupis_palmarum,39,Myrtaceae,Eugenia astringens,Eugenia_astringens,Thraupis palmarumEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Thraupis,palmarum,Small birds,39,8.28,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
126,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Thraupis sp,Thraupis_sp,NA,Myrtaceae,Eugenia astringens,Eugenia_astringens,Thraupis spEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Thraupis,,Small birds,NA,NA,2,NA,NA,NA,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
127,PE Ilha do Cardoso,Cortes et al  2009,Parulidae,Parula pitiayumi,Parula_pitiayumi,6.95,Myrtaceae,Eugenia astringens,Eugenia_astringens,Parula pitiayumiEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Setophaga,pitiayumi,Small birds,6.95,NA,1,NA,LC,Increasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
128,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Ramphocelus bresilius,Ramphocelus_bresilius,32.9,Myrtaceae,Eugenia astringens,Eugenia_astringens,Ramphocelus bresiliusEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Ramphocelus,bresilius,Small birds,32.9,11.23,3,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
129,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Tachyphonus coronatus,Tachyphonus_coronatus,29.3,Myrtaceae,Eugenia astringens,Eugenia_astringens,Tachyphonus coronatusEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Tachyphonus,coronatus,Small birds,29.3,8.42,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
130,PE Ilha do Cardoso,Cortes et al  2009,Tyrannidae,Myiarchus tyrannulus,Myiarchus_tyrannulus,36.25,Myrtaceae,Eugenia astringens,Eugenia_astringens,Myiarchus tyrannulusEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Myiarchus,tyrannulus,Small birds,36.25,8.14,1,RES,LC,Increasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
131,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus albicollis,Turdus_albicollis,54,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus albicollisEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,albicollis,Small birds,54,11.15,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
132,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Thraupis cyanoptera,Thraupis_cyanoptera,43.3,Myrtaceae,Eugenia astringens,Eugenia_astringens,Thraupis cyanopteraEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Thraupis,cyanoptera,Small birds,43.3,7.58,2,NA,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
